15,410,"['810190', '820936', '817404', '817405', '817402', '817403', '817400', '817401', '808292', '808452', '808274', '808273', '817019', '817018', '822107', '822106', '823636', '817152', '817153', '821229', '810124', '808670', '821790', '822072', '822071', '821799', '821798', '822079', '822078', '811188', '805627', '819226', '805628', '820935', '817381', '811113', '817383', '817382', '817385', '811117', '821258', '817386', '817389', '817388', '821250', '821251', '821076', '811232', '822250', '822257', '811236', '821179', '821178', '822258', '821172', '821171', '823778', '822088', '822089', '808354', '823677', '822133', '816994', '819903', '811246', '822222', '811240', '822228', '811148', '823813', '823810', '808412', '822134', '819153', '807818', '808232', '807811', '810165', '822203', '817741', '817740', '817743', '817742', '817745', '817744', '817747', '817746', '817749', '817748', '823401', '823400', '820994', '821217', '821218', '821911', '821910', '806218', '821917', '821918', '806212', '821858', '821859', '817369', '817368', '821851', '821852', '823834', '821750', '801335', '801331', '811208', '811203', '822266', '822267', '808909', '808512', '819621', '820884', '820885', '822156', '808584', '817144', '817143', '817029', '810131', '822006', '822005', '819878', '821760', '821761', '817738', '817739', '822165', '822164', '817737', '821080', '811100', '811108', '821710', '821241', '821240', '814630', '821067', '821063', '815332', '821735', '811082', '809498', '822098', '823663', '822097', '815347', '817759', '822234', '811253', '801302', '811258', '801301', '823715', '806176', '807804', '822143', '820913', '822142', '817755', '822026', '822027', '817778', '817779', '817774', '817775', '817776', '817777', '817770', '817771', '817772', '817773', '820985', '820986', '821207', '821208', '808616', '821845', '821844', '821924', '821925', '806224', '821027', '822194', '822058', '822193', '822057', '822051', '822050', '819569', '819568', '823421', '817380', '817081', '817087', '821720', '821721', '811077', '817762', '822116', '821709', '817384', '817760', '817387', '811218', '821257', '811213', '822272', '817792', '817793', '817790', '817791', '823751', '811283', '811288', '820952', '820893', '819634', '820894', '801290', '801291', '808474', '808808', '821071', '808372', '808373', '808574', '817133', '817039', '808254', '808392', '817134', '817030', '811172', '810143', '820172', '822013', '822012', '822019', '821807', '821772', '822150', '817040', '822157', '820875', '820876', '808622', '821977', '821051', '821055', '809485', '811095', '821872', '821873', '811091', '823792', '821187', '821188', '817378', '822202', '811263', '811268', '822209', '823720', '823723', '819857', '823831', '821696', '821697', '808690', '820904', '820903', '808325', '817769', '817768', '823588', '817007', '808109', '817763', '822115', '817761', '817009', '817767', '817766', '817765', '817764', '821808', '810117', '821230', '823695', '808210', '808191', '820977', '821780', '821781', '821771', '821789', '811198', '822185', '822184', '811193', '822064', '822065', '817098', '805632', '805631', '817097', '817392', '817393', '817390', '817391', '817396', '817397', '817394', '821736', '817398', '817399', '811224', '822241', '822242', '806151', '811228', '822249', '822125', '822124', '817785', '811167', '817787', '817786', '817781', '817780', '817783', '817782', '817789', '817788', '811293', '821011', '811298', '821019', '811162', '820944', '817395', '823866', '823865', '807790', '822217', '822210', '817752', '817753', '817750', '817751', '817756', '817757', '817754', '808131', '811156', '819852', '817758', '821743', '822020', '822149', '807897', '823418', '821265', '821264', '808631', '811121', '811303', '821976', '815317', '817370', '817371', '817372', '817373', '817374', '817375', '817376', '817377', '821865', '817379', '823649', '821866', '821197', '821196', '817784', '801328', '801329', '811278', '801320', '822216', '801322', '811274', '801324', '801325', '801327', '821999', '821998', '821991', '821992', '808916', '821127', '821120', '821121', '821128', '806191']"
10,351,"['822754', '822755', '822692', '816382', '816383', '821828', '822776', '821414', '821415', '822817', '822816', '816494', '816495', '822887', '822885', '822831', '821319', '810810', '811053', '824679', '820071', '816481', '821485', '821484', '818560', '818563', '818564', '818565', '818566', '818567', '818568', '824598', '820202', '810764', '822657', '822656', '822984', '813068', '818157', '824122', '818159', '818158', '821367', '824695', '824697', '824917', '821437', '824125', '820194', '821287', '821286', '816510', '820854', '821356', '821355', '822727', '822726', '801248', '822720', '822684', '822869', '801241', '810916', '801247', '810910', '801245', '813316', '810467', '810862', '810869', '821455', '821320', '811366', '801239', '801237', '801234', '822618', '801232', '801230', '819053', '819052', '819051', '819050', '819057', '819056', '819055', '819054', '819059', '819058', '816464', '822664', '822663', '822504', '821468', '816418', '816419', '817213', '822867', '801243', '822685', '822769', '822768', '811035', '822762', '822761', '822895', '816480', '821836', '806952', '806774', '801277', '801279', '822719', '822712', '822713', '810881', '818579', '818578', '818577', '818576', '818575', '818574', '818573', '818572', '818571', '818570', '822824', '824166', '824164', '821403', '821401', '822823', '824044', '824042', '824226', '810770', '822783', '822782', '819062', '819063', '819060', '819061', '816450', '821298', '818168', '818169', '818165', '818166', '818167', '818160', '818161', '818162', '818163', '818204', '822894', '818207', '825018', '822992', '822993', '822699', '822698', '822972', '822973', '821438', '822878', '822877', '821389', '822691', '821334', '821447', '821446', '821333', '824719', '822810', '824715', '824717', '818547', '818548', '822619', '822677', '822671', '822670', '822678', '819038', '824677', '813048', '822775', '816401', '816400', '811003', '813079', '823012', '823011', '801259', '821379', '821378', '807011', '821275', '821276', '801261', '801265', '822840', '824754', '801250', '824024', '824752', '824021', '810483', '822705', '824180', '824183', '822706', '822832', '821470', '821476', '821477', '824233', '824232', '824230', '824236', '824235', '824234', '822961', '821837', '816966', '816967', '819178', '819179', '821427', '822801', '816446', '818179', '818178', '818173', '818172', '818171', '818170', '816364', '818176', '818175', '818174', '819182', '822983', '820836', '811013', '822741', '822740', '822809', '821429', '821428', '822747', '822962', '821425', '822748', '822800', '821426', '821390', '819181', '819180', '819183', '813333', '819185', '819184', '819187', '819186', '818195', '821309', '818197', '818196', '818191', '818190', '818193', '818192', '811047', '811041', '810789', '806933', '818555', '821308', '818557', '818556', '818551', '818553', '818194', '818559', '824202', '824203', '824200', '824201', '810712', '824205', '801288', '801286', '801284', '801282', '813058', '816432', '818582', '818583', '818580', '818581', '818586', '818584', '818585', '821297', '818206', '823003', '823002', '817198', '816509', '821344', '821345', '806574', '806751', '822850', '801255', '822859', '822858', '822842', '822733', '822734', '801267', '821461', '801269', '824105', '821467', '810875', '821469', '824108', '811019', '810751', '818554', '810758', '810997', '822607', '821366', '824734', '822849', '822608', '818205', '819045', '819046', '819047', '818201', '818200', '818203', '818202', '818552', '819048', '819049', '818177']"
I-10,273,"['774743', '772307', '774744', '764050', '769097', '737292', '718119', '774728', '737158', '737278', '772314', '763485', '718335', '716036', '718332', '716032', '717043', '717042', '717041', '717040', '717047', '717046', '717045', '717205', '716176', '717207', '772224', '717200', '717202', '764125', '717121', '717123', '717125', '717127', '772274', '717129', '763479', '773573', '763731', '716081', '765098', '773594', '716126', '717154', '763646', '764227', '772308', '764130', '717238', '717087', '764222', '716084', '716085', '716087', '717230', '717146', '717232', '772225', '717235', '717236', '764941', '717036', '716088', '717035', '717032', '717033', '717139', '717031', '765451', '717083', '717135', '717134', '717133', '763727', '717131', '717039', '717247', '759163', '717226', '717224', '772284', '717220', '768328', '764217', '716152', '716153', '717229', '759280', '773557', '763490', '759178', '718445', '772235', '772236', '718118', '716092', '716091', '773558', '717026', '717020', '717022', '717142', '765506', '717029', '717028', '775030', '716063', '716067', '716069', '717252', '717251', '717257', '717254', '717136', '717209', '717258', '716146', '764206', '718103', '773593', '717091', '717093', '737269', '717095', '717097', '717011', '717012', '759385', '717014', '717015', '717016', '717192', '717019', '717152', '717155', '717049', '717157', '717156', '716072', '716075', '768339', '716076', '716078', '763330', '717241', '717240', '717243', '717084', '717245', '759259', '717081', '717246', '717249', '716172', '759257', '716174', '764201', '717089', '772258', '717165', '717167', '717160', '717162', '737257', '737258', '763346', '737313', '717169', '763341', '717009', '717008', '768173', '772296', '768584', '769118', '768694', '716193', '716047', '764054', '768349', '772297', '737320', '718421', '737184', '769105', '737329', '717171', '717176', '717174', '737246', '717179', '763336', '737242', '768598', '773584', '717216', '717079', '773583', '717073', '717070', '717071', '763963', '717077', '717075', '773647', '716050', '716057', '717190', '774440', '774441', '772273', '763453', '764026', '718099', '717260', '763458', '764059', '775029', '737232', '717187', '717185', '763325', '737237', '764211', '763695', '717105', '716181', '717101', '717060', '717065', '717108', '772285', '716101', '773572', '759289', '772321', '768174', '764244', '767329', '772249', '716028', '717150', '763743', '772246', '772247', '764249', '737229', '717055', '737344', '737345', '718020', '717198', '717052', '717219', '717195', '718411', '717214', '717196', '717059', '716187', '717211', '717114', '774729', '717116', '718419', '717110', '717112', '718415', '718414', '768972', '717119', '718410', '718412']"
SR-101,251,"['764879', '770872', '764874', '770845', '717447', '717446', '717445', '770821', '764891', '770827', '770824', '717524', '771004', '717520', '717522', '770611', '770610', '716339', '772564', '772355', '770950', '716331', '770956', '716337', '769402', '764637', '764632', '770863', '769405', '767811', '770754', '765444', '768253', '770830', '770833', '770836', '770839', '770934', '769389', '769388', '716328', '771163', '770741', '770940', '770945', '760002', '764627', '769403', '764622', '769418', '768066', '772140', '770700', '716398', '770707', '716390', '716391', '716392', '772340', '770974', '759271', '770808', '770971', '770805', '765101', '765100', '765106', '770802', '765182', '770886', '717813', '760013', '767802', '770735', '768265', '770637', '764863', '764949', '764617', '772609', '773024', '764868', '772151', '770917', '764927', '769444', '769443', '764921', '770962', '770818', '770811', '772168', '764885', '770814', '772208', '717495', '764766', '717497', '717490', '717491', '717492', '717493', '765176', '770911', '717498', '717499', '775302', '764958', '764814', '769431', '764819', '770642', '772354', '767801', '772571', '770717', '770851', '772596', '772597', '764937', '764932', '770998', '773023', '770992', '772193', '717483', '764772', '717481', '717480', '717486', '717484', '765164', '717489', '717488', '770796', '770712', '775314', '770648', '764803', '770790', '768634', '770793', '764808', '770657', '770799', '770652', '765472', '764900', '772583', '764905', '769467', '767810', '770988', '772610', '764760', '770980', '770724', '770905', '770901', '770878', '717479', '765150', '771016', '760024', '717472', '717473', '764781', '765099', '770781', '770787', '764839', '770890', '764834', '770661', '769358', '769359', '770666', '770688', '770857', '764963', '764858', '768477', '770682', '764853', '717502', '772167', '717501', '717504', '717508', '770676', '771009', '737433', '717469', '717468', '770671', '717465', '716359', '717466', '717461', '717460', '717463', '717462', '718150', '764829', '770896', '769345', '769346', '770748', '770772', '772178', '764824', '770766', '764848', '768469', '764910', '764794', '770694', '772582', '717511', '717510', '717513', '717515', '717514', '717517', '717516', '717519', '717518', '764798', '717458', '717459', '764641', '769430', '764646', '770929', '773062', '717450', '717452', '717453', '770923', '717456', '770760', '764915', '769372', '718149', '718148', '718146', '718144', '718143', '718142', '718141', '769373']"
I-405,238,"['717797', '761482', '717795', '717794', '717790', '772652', '717799', '717798', '717818', '717819', '717777', '772655', '767053', '717813', '717814', '717816', '769496', '772827', '718238', '717719', '717717', '717715', '717713', '717711', '717710', '772762', '772011', '767827', '716689', '717807', '717806', '717804', '771898', '717801', '717800', '767350', '771897', '718479', '717809', '769195', '769228', '766493', '764583', '772024', '772025', '761552', '717769', '772789', '772788', '772651', '775239', '717763', '717760', '771877', '717766', '717765', '718280', '716694', '718267', '772801', '718284', '718287', '775120', '775121', '718277', '771915', '771914', '764598', '771807', '764590', '718219', '717779', '772802', '737529', '772625', '771969', '717772', '716626', '717776', '764754', '772815', '772814', '772737', '718297', '718296', '775225', '718292', '718291', '718290', '767367', '767366', '766505', '718232', '768626', '717744', '717746', '717740', '716632', '717742', '718265', '771954', '771879', '772437', '718262', '716738', '716739', '772639', '775156', '716733', '765171', '718235', '768643', '772941', '718266', '764604', '765273', '772721', '718304', '771981', '717696', '717697', '759422', '717699', '759427', '767351', '716719', '717753', '717752', '717751', '717750', '718275', '717755', '718308', '717758', '771939', '774327', '771864', '761492', '717826', '775155', '771863', '718500', '772454', '716720', '761526', '775249', '771826', '768634', '764572', '772527', '716674', '772837', '764578', '772754', '771767', '771997', '767812', '772640', '718249', '716659', '718245', '718247', '718240', '718242', '718243', '761455', '717727', '717724', '764671', '772455', '717723', '717720', '717721', '775165', '765153', '716714', '718259', '717729', '761500', '718227', '772745', '771938', '772438', '775184', '775183', '771825', '718312', '771925', '718310', '718258', '718314', '718315', '718253', '718251', '765265', '716660', '718256', '716663', '717735', '772775', '772776', '771808', '717731', '717733', '764567', '771846', '771845', '761541', '768619', '768968', '768969', '772666', '772828', '775137', '772729', '775136', '775261', '717788', '718300', '718302', '717829', '717828', '717825', '717824', '717827', '716670', '717821', '717823', '717787', '717701', '717703', '769248', '717706', '718229', '718226', '717709', '718223', '718221']"
5,235,"['1204301', '1205297', '1205295', '1205290', '1204447', '1205028', '1204316', '1204997', '1219412', '1204538', '1205541', '1204798', '1205632', '1213229', '1210841', '1204415', '1205215', '1204255', '1205211', '1205421', '1204716', '1204577', '1204886', '1204559', '1204390', '1205157', '1204552', '1212662', '1204825', '1204193', '1205473', '1215503', '1205310', '1204841', '1204198', '1210856', '1204244', '1204328', '1205135', '1204761', '1205139', '1205341', '1219436', '1204643', '1205269', '1216538', '1204409', '1210926', '1212645', '1205349', '1204486', '1211107', '1205532', '1205262', '1212001', '1204638', '1205432', '1205478', '1205636', '1204878', '1205303', '1219388', '1204401', '1205122', '1204230', '1212094', '1205680', '1211829', '1205607', '1204458', '1205375', '1212218', '1209929', '1205045', '1205276', '1204436', '1212649', '1216530', '1204967', '1204632', '1205493', '1204737', '1204532', '1205440', '1213570', '1213571', '1219403', '1204731', '1205182', '1214005', '1214006', '1204295', '1211816', '1204422', '1204607', '1205330', '1204586', '1204521', '1204428', '1204650', '1205612', '1210882', '1204507', '1205528', '1204501', '1209830', '1205193', '1205590', '1205364', '1209831', '1205012', '1204340', '1208976', '1205246', '1204621', '1205517', '1205452', '1216505', '1213700', '1204357', '1205395', '1216589', '1204453', '1210974', '1205250', '1205583', '1210972', '1204216', '1204211', '1205105', '1204699', '1204290', '1205463', '1204515', '1205189', '1205062', '1204695', '1204697', '1210955', '1219359', '1204615', '1205508', '1204861', '1204750', '1204944', '1219354', '1205668', '1205380', '1205384', '1205200', '1204924', '1205623', '1204442', '1204682', '1205071', '1204688', '1205335', '1205225', '1204766', '1213527', '1210895', '1205627', '1205175', '1213528', '1204395', '1204565', '1204816', '1205572', '1204950', '1204869', '1216506', '1204345', '1216244', '1210872', '1212611', '1204937', '1212216', '1204372', '1204478', '1216246', '1205169', '1212196', '1210993', '1210991', '1204472', '1212115', '1212116', '1205230', '1211623', '1204279', '1205165', '1205166', '1204273', '1210013', '1205088', '1204571', '1210015', '1204808', '1204672', '1205562', '1212192', '1205409', '1205567', '1205658', '1212588', '1213699', '1204904', '1205320', '1204982', '1215774', '1204306', '1205324', '1219396', '1205168', '1218142', '1212144', '1205286', '1213215', '1210141', '1211853', '1204268', '1205204', '1205553', '1204787', '1205152', '1210908', '1210909', '1204781', '1204665', '1204703', '1211075', '1204701', '1204546', '1209957', '1204384']"
91,234,"['801509', '1214118', '1217251', '1217194', '1213686', '801502', '1214117', '801505', '1213680', '1203665', '1208208', '1204181', '1218677', '1203998', '1203850', '1204159', '1204105', '810110', '1203615', '1203524', '1208199', '823132', '1203692', '801435', '1208190', '801431', '819114', '1203831', '1217292', '801457', '801455', '822589', '801451', '811350', '1208176', '1203984', '1217082', '801552', '801418', '1204052', '824796', '1204023', '1204117', '824797', '824810', '1203909', '1203825', '801428', '820559', '801422', '824809', '801449', '1208161', '801479', '801445', '801447', '1204142', '801442', '822590', '823180', '817546', '1213060', '817544', '1208260', '811345', '1217136', '1217238', '1203549', '1204168', '1203931', '1217063', '824862', '824848', '824861', '801517', '801516', '801515', '820549', '801512', '801511', '1218684', '1208134', '820364', '818763', '807830', '818766', '1217100', '818764', '1203718', '801473', '1203972', '801477', '1203642', '1217227', '1203573', '811332', '1203649', '1203861', '1208151', '1203922', '1216852', '1203481', '1203927', '1204076', '824978', '814351', '814357', '1203866', '801562', '1218691', '801560', '816084', '801565', '1218698', '1208240', '1217117', '806674', '1203896', '1213398', '1203561', '1203654', '1217216', '1208121', '811325', '824849', '820288', '1213892', '1213891', '1203495', '1204064', '1203957', '1203793', '801527', '1203799', '1203813', '1217183', '811314', '824835', '1204091', '811408', '823858', '811404', '1214062', '811400', '1208147', '1208108', '1204153', '1203704', '801499', '1217161', '1208230', '810678', '801493', '801490', '1217205', '801496', '1203513', '820845', '820846', '1204010', '1208226', '1203944', '801464', '801549', '1203788', '801544', '801546', '1212725', '801541', '801469', '801543', '822288', '823031', '801528', '811412', '811309', '1203631', '823038', '801523', '801520', '801521', '801488', '1217273', '1203679', '823131', '1203589', '1217172', '1203774', '801481', '1203886', '801485', '1203506', '824822', '824823', '1214063', '801559', '1217285', '1217044', '801415', '1203871', '820356', '801550', '819075', '801556', '801555', '819076', '1208110', '801539', '801538', '801535', '820489', '801536', '801531', '801530', '801533', '1218669', '1203762', '1218662', '816077', '1217149', '1217262', '1204038', '813794', '1203845', '822370', '824836', '1203536', '1203604', '1217070', '811389', '807471', '1213985', '1208180', '1213986']"
I-5,212,"['759783', '715916', '761644', '768664', '718360', '769091', '769090', '715898', '764232', '762398', '764236', '773630', '763990', '759666', '775058', '759822', '759700', '775050', '759707', '775049', '759906', '759900', '716968', '716965', '716963', '716960', '715929', '768523', '715922', '759552', '715920', '715921', '768655', '716993', '716990', '716991', '716996', '716997', '716994', '775037', '769029', '716999', '716007', '759850', '759654', '759858', '769055', '716918', '768701', '759914', '716912', '716913', '716910', '716911', '716916', '775041', '716914', '716915', '716017', '715938', '716010', '715930', '715933', '716981', '716983', '716985', '716986', '716989', '716988', '769030', '759844', '718358', '759648', '761604', '759617', '759576', '759172', '716908', '774344', '716901', '716900', '716902', '716904', '716907', '716906', '759942', '759747', '759610', '763706', '764151', '763669', '763700', '769042', '769043', '759531', '775059', '716934', '716936', '716937', '716930', '774092', '716933', '768138', '716938', '716939', '762347', '764156', '718364', '716016', '775081', '764435', '769625', '759250', '769054', '763674', '716923', '716922', '716921', '716920', '716925', '716924', '718370', '718371', '716929', '716928', '718375', '718376', '759626', '772055', '763975', '717006', '717004', '762353', '717002', '717001', '717000', '759513', '759870', '759927', '759518', '716896', '716895', '718081', '718086', '718085', '763237', '718089', '716899', '716898', '775007', '759602', '715996', '759591', '775008', '716956', '763641', '716955', '716953', '715915', '716951', '715918', '716958', '768682', '759566', '759636', '759933', '759685', '718090', '718379', '718092', '761599', '759762', '764417', '716944', '716946', '716941', '716940', '716943', '716942', '718392', '718393', '718404', '718405', '716949', '718394', '775080', '715944', '715947', '774514', '759888', '763980', '763748', '763985', '759542', '716023', '759677', '759672', '759228', '775067', '775068', '759772', '718384', '718389', '716971', '716973', '716974', '716975', '716977', '716978', '716979', '759834', '759835']"
